id,time,frame_num,class,conf,x,y,w,h
1,3.3703300149235744,101,13.0,0.4505312442779541,1404,650,1027,625
4,3.3703300149235744,101,7.0,0.4097786247730255,738,949,264,245
15,3.3703300149235744,101,2.0,0.286421000957489,1842,532,112,45
1,3.403699619031729,102,13.0,0.4266369938850403,1405,650,1027,627
4,3.403699619031729,102,7.0,0.2362523376941681,744,966,253,227
15,3.403699619031729,102,2.0,0.12598742544651031,1839,532,111,43
1,3.437069223139883,103,13.0,0.5018115043640137,1403,651,1029,638
15,3.437069223139883,103,2.0,0.11320529133081436,1839,533,99,40
1,3.4704388272480373,104,13.0,0.48513612151145935,1403,649,1031,646
1,3.5038084313561915,105,13.0,0.499099463224411,1399,648,1038,653
1,3.5371780354643456,106,13.0,0.5383490324020386,1399,653,1038,655
1,3.5705476395724998,107,13.0,0.520888090133667,1399,654,1038,658
1,3.603917243680654,108,13.0,0.5270310044288635,1400,661,1036,667
1,3.637286847788808,109,13.0,0.5795416831970215,1400,665,1037,671
1,3.6706564518969627,110,13.0,0.5921839475631714,1401,668,1035,665
1,3.704026056005117,111,13.0,0.5961020588874817,1400,671,1037,668
28,3.704026056005117,111,2.0,0.35410624742507935,302,212,32,28
1,3.737395660113271,112,13.0,0.59373539686203,1402,673,1034,665
28,3.737395660113271,112,2.0,0.3096669614315033,302,213,32,27
1,3.770765264221425,113,13.0,0.5742038488388062,1403,671,1032,655
28,3.770765264221425,113,2.0,0.31331777572631836,303,212,33,28
1,3.8041348683295793,114,13.0,0.6026267409324646,1404,673,1031,650
28,3.8041348683295793,114,2.0,0.33647966384887695,304,212,33,28
1,3.8375044724377334,115,13.0,0.5915951132774353,1403,673,1031,653
28,3.8375044724377334,115,2.0,0.40965017676353455,304,212,33,29
1,3.8708740765458876,116,13.0,0.569726824760437,1404,671,1030,649
28,3.8708740765458876,116,2.0,0.2573208510875702,306,213,31,27
1,3.9042436806540417,117,13.0,0.5834930539131165,1404,669,1029,644
28,3.9042436806540417,117,2.0,0.31619518995285034,307,214,34,27
1,3.9376132847621963,118,13.0,0.5641514658927917,1404,667,1031,640
28,3.9376132847621963,118,2.0,0.31945425271987915,308,216,36,26
1,3.9709828888703504,119,13.0,0.5746269822120667,1404,667,1031,640
28,3.9709828888703504,119,2.0,0.3436393737792969,311,217,36,27
1,4.004352492978504,120,13.0,0.5720344185829163,1404,669,1031,642
28,4.004352492978504,120,2.0,0.404349148273468,314,219,37,27
1,4.037722097086658,121,13.0,0.5505459904670715,1402,669,1034,650
28,4.037722097086658,121,2.0,0.44448378682136536,315,220,37,27
1,4.071091701194813,122,13.0,0.5247057676315308,1403,670,1033,649
28,4.071091701194813,122,2.0,0.4265914559364319,316,220,37,28
1,4.1044613053029675,123,13.0,0.6173968315124512,1403,668,1032,641
28,4.1044613053029675,123,2.0,0.39641106128692627,318,221,40,30
1,4.137830909411122,124,13.0,0.6104438900947571,1404,666,1031,637
28,4.137830909411122,124,2.0,0.45385444164276123,319,222,39,30
1,4.171200513519276,125,13.0,0.582410991191864,1404,665,1030,632
28,4.171200513519276,125,2.0,0.34794509410858154,320,223,39,31
1,4.20457011762743,126,13.0,0.4734465777873993,1403,665,1030,629
28,4.20457011762743,126,2.0,0.3137543797492981,321,224,39,33
1,4.237939721735584,127,13.0,0.4486694633960724,1404,664,1028,622
28,4.237939721735584,127,2.0,0.20098815858364105,322,225,37,33
